game,mover,loss,local_dist
ogs_88402721_B-0k_W-0k.sgf,B,-0.18,
ogs_88402721_B-0k_W-0k.sgf,W,0.00,2
ogs_88402721_B-0k_W-0k.sgf,B,-0.01,1
ogs_88402721_B-0k_W-0k.sgf,W,0.37,1
ogs_88402721_B-0k_W-0k.sgf,B,1.40,1
ogs_88402721_B-0k_W-0k.sgf,W,0.21,1
ogs_88402721_B-0k_W-0k.sgf,B,0.56,1
ogs_88402721_B-0k_W-0k.sgf,W,4.79,4
ogs_88402721_B-0k_W-0k.sgf,B,-0.06,1
ogs_88402721_B-0k_W-0k.sgf,W,2.76,2
ogs_88402721_B-0k_W-0k.sgf,B,-0.06,1
ogs_88402721_B-0k_W-0k.sgf,W,4.17,1
ogs_88402721_B-0k_W-0k.sgf,B,2.09,3
ogs_88402721_B-0k_W-0k.sgf,W,7.40,3
ogs_88402721_B-0k_W-0k.sgf,B,0.43,5
ogs_88402721_B-0k_W-0k.sgf,W,-0.36,1
ogs_88402721_B-0k_W-0k.sgf,B,-1.13,1
ogs_88402721_B-0k_W-0k.sgf,W,0.70,6
ogs_88402721_B-0k_W-0k.sgf,B,1.63,5
ogs_88402721_B-0k_W-0k.sgf,W,1.92,1
ogs_88402721_B-0k_W-0k.sgf,B,5.98,1
ogs_88402721_B-0k_W-0k.sgf,W,6.04,1
ogs_88402721_B-0k_W-0k.sgf,B,13.88,5
ogs_88402721_B-0k_W-0k.sgf,W,-0.31,1
ogs_88402721_B-0k_W-0k.sgf,B,0.30,1
ogs_88402721_B-0k_W-0k.sgf,W,-0.06,2
ogs_88402721_B-0k_W-0k.sgf,B,2.50,2
ogs_88402721_B-0k_W-0k.sgf,W,1.89,1
ogs_88402721_B-0k_W-0k.sgf,B,2.29,3
ogs_88402721_B-0k_W-0k.sgf,W,3.96,4
ogs_88402721_B-0k_W-0k.sgf,B,2.12,2
ogs_88402721_B-0k_W-0k.sgf,W,1.79,2
ogs_88402721_B-0k_W-0k.sgf,B,0.86,1
ogs_88402721_B-0k_W-0k.sgf,W,0.34,2
ogs_88402721_B-0k_W-0k.sgf,B,0.40,1
ogs_88402721_B-0k_W-0k.sgf,W,0.36,3
ogs_88427467_B-0k_W0k.sgf,B,-0.13,
ogs_88427467_B-0k_W0k.sgf,W,-0.01,2
ogs_88427467_B-0k_W0k.sgf,B,0.41,3
ogs_88427467_B-0k_W0k.sgf,W,0.01,3
ogs_88427467_B-0k_W0k.sgf,B,-0.08,4
ogs_88427467_B-0k_W0k.sgf,W,-0.11,1
ogs_88427467_B-0k_W0k.sgf,B,0.44,1
ogs_88427467_B-0k_W0k.sgf,W,2.40,1
ogs_88427467_B-0k_W0k.sgf,B,2.08,1
ogs_88427467_B-0k_W0k.sgf,W,0.65,2
ogs_88427467_B-0k_W0k.sgf,B,-0.20,1
ogs_88427467_B-0k_W0k.sgf,W,0.57,1
