game,mover,loss,local_dist
ogs_84629687_B10k_W9k.sgf,B,-0.10,
ogs_84629687_B10k_W9k.sgf,W,2.38,1
ogs_84629687_B10k_W9k.sgf,B,0.18,1
ogs_84629687_B10k_W9k.sgf,W,-0.46,2
ogs_84629687_B10k_W9k.sgf,B,0.11,2
ogs_84629687_B10k_W9k.sgf,W,0.55,2
ogs_84629687_B10k_W9k.sgf,B,2.19,3
ogs_84629687_B10k_W9k.sgf,W,0.15,1
ogs_84629687_B10k_W9k.sgf,B,1.45,5
ogs_84629687_B10k_W9k.sgf,W,0.78,4
ogs_84629687_B10k_W9k.sgf,B,0.19,1
ogs_84629687_B10k_W9k.sgf,W,-0.44,2
ogs_84629687_B10k_W9k.sgf,B,-0.13,2
ogs_84629687_B10k_W9k.sgf,W,4.82,5
ogs_84629687_B10k_W9k.sgf,B,-1.32,1
ogs_84629687_B10k_W9k.sgf,W,0.62,2
ogs_84629687_B10k_W9k.sgf,B,0.07,4
ogs_84629687_B10k_W9k.sgf,W,6.81,1
ogs_84629687_B10k_W9k.sgf,B,10.06,1
ogs_84629687_B10k_W9k.sgf,W,1.39,2
ogs_84629687_B10k_W9k.sgf,B,0.13,1
ogs_84629687_B10k_W9k.sgf,W,1.44,2
ogs_84629687_B10k_W9k.sgf,B,-0.40,1
ogs_84629687_B10k_W9k.sgf,W,1.66,7
ogs_84629687_B10k_W9k.sgf,B,10.09,6
ogs_84629687_B10k_W9k.sgf,W,8.37,1
ogs_84629687_B10k_W9k.sgf,B,8.88,5
ogs_84629687_B10k_W9k.sgf,W,18.72,1
ogs_84629687_B10k_W9k.sgf,B,-0.86,2
ogs_84629687_B10k_W9k.sgf,W,0.34,1
ogs_84629687_B10k_W9k.sgf,B,16.33,3
ogs_84629687_B10k_W9k.sgf,W,24.52,6
ogs_84629687_B10k_W9k.sgf,B,43.47,1
ogs_84629687_B10k_W9k.sgf,W,-0.60,1
ogs_84629687_B10k_W9k.sgf,B,2.48,1
ogs_84629687_B10k_W9k.sgf,W,12.36,3
ogs_84629687_B10k_W9k.sgf,B,7.08,1
ogs_84629687_B10k_W9k.sgf,W,-1.08,3
ogs_84629687_B10k_W9k.sgf,B,-0.30,3
ogs_84629687_B10k_W9k.sgf,W,1.14,6
ogs_84733433_B9k_W10k.sgf,B,-0.04,
ogs_84733433_B9k_W10k.sgf,W,0.63,2
ogs_84733433_B9k_W10k.sgf,B,-0.04,1
ogs_84733433_B9k_W10k.sgf,W,0.32,2
ogs_84733433_B9k_W10k.sgf,B,0.26,3
ogs_84733433_B9k_W10k.sgf,W,1.82,5
ogs_84733433_B9k_W10k.sgf,B,2.30,1
ogs_84733433_B9k_W10k.sgf,W,2.03,1
ogs_84733433_B9k_W10k.sgf,B,-0.38,2
ogs_84733433_B9k_W10k.sgf,W,2.70,2
ogs_84733433_B9k_W10k.sgf,B,0.00,1
ogs_84733433_B9k_W10k.sgf,W,3.63,3
ogs_84733433_B9k_W10k.sgf,B,-0.04,4
ogs_84733433_B9k_W10k.sgf,W,1.41,3
ogs_84733433_B9k_W10k.sgf,B,-0.13,1
ogs_84733433_B9k_W10k.sgf,W,0.21,1
ogs_84733433_B9k_W10k.sgf,B,9.66,2
ogs_84733433_B9k_W10k.sgf,W,12.06,2
ogs_84733433_B9k_W10k.sgf,B,11.71,1
ogs_84733433_B9k_W10k.sgf,W,6.25,2
ogs_84733433_B9k_W10k.sgf,B,-0.97,4
ogs_84733433_B9k_W10k.sgf,W,4.25,4
ogs_84733433_B9k_W10k.sgf,B,-0.30,1
ogs_84733433_B9k_W10k.sgf,W,0.50,2
ogs_84733433_B9k_W10k.sgf,B,-0.10,1
ogs_84733433_B9k_W10k.sgf,W,6.46,5
ogs_84733433_B9k_W10k.sgf,B,1.66,4
ogs_84733433_B9k_W10k.sgf,W,1.87,1
ogs_84926211_B9k_W10k.sgf,B,0.53,
ogs_84926211_B9k_W10k.sgf,W,0.67,4
ogs_84926211_B9k_W10k.sgf,B,0.84,2
ogs_84926211_B9k_W10k.sgf,W,1.18,3
ogs_84926211_B9k_W10k.sgf,B,2.80,2
ogs_84926211_B9k_W10k.sgf,W,0.70,1
ogs_84926211_B9k_W10k.sgf,B,0.85,1
ogs_84926211_B9k_W10k.sgf,W,2.76,1
ogs_84926211_B9k_W10k.sgf,B,0.01,1
ogs_84926211_B9k_W10k.sgf,W,0.24,1
ogs_84926211_B9k_W10k.sgf,B,2.12,3
ogs_84926211_B9k_W10k.sgf,W,7.51,3
ogs_84926211_B9k_W10k.sgf,B,-0.02,1
ogs_84926211_B9k_W10k.sgf,W,2.12,2
ogs_84926211_B9k_W10k.sgf,B,2.06,1
ogs_84926211_B9k_W10k.sgf,W,0.58,1
ogs_84926211_B9k_W10k.sgf,B,0.47,1
ogs_84926211_B9k_W10k.sgf,W,4.14,1
ogs_84926211_B9k_W10k.sgf,B,3.03,3
ogs_84926211_B9k_W10k.sgf,W,2.87,1
ogs_84926211_B9k_W10k.sgf,B,3.30,1
ogs_84926211_B9k_W10k.sgf,W,8.53,2
ogs_84926211_B9k_W10k.sgf,B,7.84,2
ogs_84926211_B9k_W10k.sgf,W,10.92,1
ogs_84926211_B9k_W10k.sgf,B,9.35,1
ogs_84926211_B9k_W10k.sgf,W,1.90,3
ogs_84926211_B9k_W10k.sgf,B,0.01,1
ogs_84926211_B9k_W10k.sgf,W,3.03,2
ogs_84926211_B9k_W10k.sgf,B,-0.08,1
ogs_84926211_B9k_W10k.sgf,W,5.08,2
ogs_84926211_B9k_W10k.sgf,B,-0.19,1
ogs_84926211_B9k_W10k.sgf,W,1.73,2
ogs_84926211_B9k_W10k.sgf,B,0.50,1
ogs_84926211_B9k_W10k.sgf,W,4.82,4
ogs_84926211_B9k_W10k.sgf,B,10.37,2
ogs_84926211_B9k_W10k.sgf,W,10.24,1
ogs_84926211_B9k_W10k.sgf,B,-0.81,1
ogs_84926211_B9k_W10k.sgf,W,6.97,1
ogs_84926211_B9k_W10k.sgf,B,11.24,2
ogs_84988582_B10k_W9k.sgf,B,-0.10,
ogs_84988582_B10k_W9k.sgf,W,0.97,1
ogs_84988582_B10k_W9k.sgf,B,-0.04,1
ogs_84988582_B10k_W9k.sgf,W,1.84,1
ogs_84988582_B10k_W9k.sgf,B,3.21,2
ogs_84988582_B10k_W9k.sgf,W,-0.50,1
ogs_84988582_B10k_W9k.sgf,B,-0.30,1
ogs_84988582_B10k_W9k.sgf,W,3.98,1
ogs_84988582_B10k_W9k.sgf,B,6.75,4
ogs_84988582_B10k_W9k.sgf,W,2.90,2
ogs_84988582_B10k_W9k.sgf,B,3.70,1
ogs_84988582_B10k_W9k.sgf,W,3.23,1
ogs_84988582_B10k_W9k.sgf,B,8.41,1
ogs_84988582_B10k_W9k.sgf,W,-0.69,6
ogs_84988582_B10k_W9k.sgf,B,0.52,1
ogs_84988582_B10k_W9k.sgf,W,3.54,3
ogs_84988582_B10k_W9k.sgf,B,4.42,4
ogs_84988582_B10k_W9k.sgf,W,-0.01,5
ogs_84988582_B10k_W9k.sgf,B,0.17,1
ogs_84988582_B10k_W9k.sgf,W,-0.18,1
ogs_84988582_B10k_W9k.sgf,B,1.87,2
ogs_84988582_B10k_W9k.sgf,W,1.64,1
ogs_84988582_B10k_W9k.sgf,B,0.17,5
ogs_84988582_B10k_W9k.sgf,W,0.74,1
ogs_84988582_B10k_W9k.sgf,B,0.34,2
ogs_84988582_B10k_W9k.sgf,W,1.62,1
ogs_84988582_B10k_W9k.sgf,B,0.11,1
ogs_84988582_B10k_W9k.sgf,W,-0.46,1
ogs_84988582_B10k_W9k.sgf,B,2.73,3
ogs_84988582_B10k_W9k.sgf,W,-0.07,1
ogs_84988582_B10k_W9k.sgf,B,-0.24,2
ogs_84988582_B10k_W9k.sgf,W,0.17,2
ogs_84988582_B10k_W9k.sgf,B,-0.18,3
ogs_84988582_B10k_W9k.sgf,W,1.29,1
ogs_84988582_B10k_W9k.sgf,B,-0.37,1
ogs_84988582_B10k_W9k.sgf,W,-0.15,1
ogs_84988582_B10k_W9k.sgf,B,1.94,1
ogs_84988582_B10k_W9k.sgf,W,-0.26,1
ogs_84988582_B10k_W9k.sgf,B,2.97,1
ogs_84988582_B10k_W9k.sgf,W,1.92,4
ogs_84988582_B10k_W9k.sgf,B,-0.09,5
ogs_84988582_B10k_W9k.sgf,W,0.60,1
ogs_84988582_B10k_W9k.sgf,B,-0.11,8
ogs_84988582_B10k_W9k.sgf,W,0.15,1
ogs_84988582_B10k_W9k.sgf,B,0.08,2
ogs_84988582_B10k_W9k.sgf,W,1.06,5
ogs_84988582_B10k_W9k.sgf,B,0.21,1
ogs_84988582_B10k_W9k.sgf,W,-0.19,1
ogs_84988582_B10k_W9k.sgf,B,0.11,1
ogs_88357988_B7k_W10k.sgf,B,-0.12,
ogs_88357988_B7k_W10k.sgf,W,0.12,2
ogs_88357988_B7k_W10k.sgf,B,-0.12,1
ogs_88357988_B7k_W10k.sgf,W,0.03,1
ogs_88357988_B7k_W10k.sgf,B,0.09,1
ogs_88357988_B7k_W10k.sgf,W,3.57,2
ogs_88357988_B7k_W10k.sgf,B,-0.49,1
ogs_88357988_B7k_W10k.sgf,W,-0.37,1
ogs_88357988_B7k_W10k.sgf,B,0.21,1
ogs_88357988_B7k_W10k.sgf,W,2.02,2
ogs_88357988_B7k_W10k.sgf,B,-0.04,3
ogs_88357988_B7k_W10k.sgf,W,0.09,1
ogs_88357988_B7k_W10k.sgf,B,-0.03,1
ogs_88357988_B7k_W10k.sgf,W,0.24,1
ogs_88357988_B7k_W10k.sgf,B,-0.56,4
ogs_88357988_B7k_W10k.sgf,W,1.02,2
ogs_88357988_B7k_W10k.sgf,B,-0.95,1
ogs_88357988_B7k_W10k.sgf,W,1.34,1
ogs_88357988_B7k_W10k.sgf,B,5.57,1
ogs_88357988_B7k_W10k.sgf,W,1.74,3
ogs_88357988_B7k_W10k.sgf,B,0.67,1
ogs_88357988_B7k_W10k.sgf,W,3.43,1
ogs_88357988_B7k_W10k.sgf,B,4.10,1
ogs_88357988_B7k_W10k.sgf,W,1.58,1
ogs_88357988_B7k_W10k.sgf,B,-4.27,1
ogs_88357988_B7k_W10k.sgf,W,-1.73,2
ogs_88357988_B7k_W10k.sgf,B,5.88,3
ogs_88357988_B7k_W10k.sgf,W,-0.34,1
ogs_88357988_B7k_W10k.sgf,B,-2.62,1
ogs_88357988_B7k_W10k.sgf,W,8.49,2
ogs_88357988_B7k_W10k.sgf,B,-1.04,1
